Item Name,Brand,Color,Location Found,Date Found,Lost Date,Item Category,Reported Lost Duration,Owner Information,Finder Information,Item Value,Condition When Found,Security Camera Coverage,Location Traffic,Weather Conditions,Event Occurrence,Found
Umbrella,-,MediumAquaMarine,Rooftop Pool,08-11-2024,06-11-2024,Electronics,06-11-2024,Repeat Reporter,Housekeeping,High,Good,Not Covered,High Traffic,Rainy,During Event,Yes
Necklace,-,MediumAquaMarine,Campus Trail,02-11-2023,04-10-2023,Clothing,27-10-2023,First Time Reporter,None,Low,Damaged,Covered,Moderate Traffic,Sunny,Normal Day,Yes
Umbrella,-,Cyan,Stadium Stands,09-12-2023,15-11-2023,Clothing,15-11-2023,First Time Reporter,Housekeeping,Low,Excellent,Not Covered,Moderate Traffic,Rainy,Normal Day,Yes
Tablet,-,LightPink,Study Lounge,31-07-2023,20-07-2023,Electronics,22-07-2023,Repeat Reporter,Housekeeping,Low,Damaged,Not Covered,Low Traffic,Rainy,During Event,Yes
Wallet,Diaz PLC,BurlyWood,Library,18-04-2024,02-04-2024,Clothing,03-04-2024,First Time Reporter,Security,Low,Excellent,Not Covered,Moderate Traffic,Cloudy,During Event,Yes
Coffee Mug,Mason-Fischer,DarkGoldenRod,Park,22-01-2023,01-01-2023,Sporting Goods,14-01-2023,Repeat Reporter,Information Desk,Low,Excellent,Covered,Low Traffic,Rainy,During Event,No
Cell Phone,Ross-Chambers,Yellow,Student Union,22-08-2023,14-08-2023,Personal Accessories,20-08-2023,Repeat Reporter,Security,Low,Damaged,Covered,High Traffic,Cloudy,During Event,Yes
Necklace,"Ibarra, Lopez and Krueger",DarkSalmon,Bus Stop,06-02-2024,19-01-2024,Books,21-01-2024,First Time Reporter,Information Desk,Medium,Good,Not Covered,Low Traffic,Rainy,Normal Day,Yes
Umbrella,-,Lavender,Cafeteria,26-01-2023,20-01-2023,Electronics,20-01-2023,Repeat Reporter,Information Desk,High,Excellent,Not Covered,High Traffic,Sunny,During Event,Yes
Wallet,-,OldLace,Bus Stop,10-08-2023,06-08-2023,Personal Accessories,07-08-2023,First Time Reporter,Security,High,Damaged,Not Covered,High Traffic,Snowy,Normal Day,No
Umbrella,Greene-Byrd,FloralWhite,Cafeteria,15-12-2023,29-11-2023,Sporting Goods,09-12-2023,First Time Reporter,Housekeeping,Low,Excellent,Covered,High Traffic,Snowy,During Event,Yes
Wallet,"Wright, Fox and Schwartz",Navy,Library Study Room,20-10-2024,30-09-2024,Electronics,07-10-2024,First Time Reporter,Housekeeping,High,Damaged,Covered,Low Traffic,Rainy,Normal Day,Yes
Cell Phone,"Johnson, Petty and Davis",White,Student Union,16-06-2024,31-05-2024,Books,01-06-2024,First Time Reporter,None,Medium,Excellent,Not Covered,Low Traffic,Rainy,During Event,Yes
Laptop,-,Lavender,Outdoor Patio,10-08-2023,01-08-2023,Clothing,07-08-2023,First Time Reporter,Housekeeping,Medium,Damaged,Not Covered,High Traffic,Rainy,During Event,No
Laptop,"Bright, Tucker and Hall",RoyalBlue,Computer Lab,16-01-2024,06-01-2024,Personal Accessories,16-01-2024,Repeat Reporter,Security,Medium,Good,Not Covered,High Traffic,Rainy,During Event,Yes
Umbrella,Hall-Walters,MediumTurquoise,Library,18-02-2024,28-01-2024,Sporting Goods,14-02-2024,Repeat Reporter,None,High,Damaged,Covered,Low Traffic,Snowy,Normal Day,No
ID Card,-,Navy,Gym,26-06-2023,20-06-2023,Sporting Goods,22-06-2023,Repeat Reporter,Housekeeping,Low,Excellent,Covered,Low Traffic,Sunny,Normal Day,No
Tablet,King-Anderson,DarkOliveGreen,Quad,10-06-2023,15-05-2023,Sporting Goods,25-05-2023,First Time Reporter,Security,Medium,Damaged,Not Covered,Low Traffic,Rainy,Normal Day,Yes
Phone Charger,-,Moccasin,Cafeteria,30-01-2024,27-01-2024,Electronics,27-01-2024,Repeat Reporter,Housekeeping,High,Excellent,Covered,High Traffic,Cloudy,During Event,Yes
Gloves,-,MediumSpringGreen,Baseball Field,14-10-2024,05-10-2024,Sporting Goods,13-10-2024,First Time Reporter,Housekeeping,Medium,Good,Not Covered,Low Traffic,Cloudy,Normal Day,No
Tablet,Leonard Group,SaddleBrown,Football Stadium,11-11-2024,18-10-2024,Sporting Goods,21-10-2024,First Time Reporter,Housekeeping,Medium,Damaged,Not Covered,High Traffic,Snowy,During Event,Yes
Backpack,Yoder-Patton,SaddleBrown,Shopping Mall,21-09-2023,03-09-2023,Sporting Goods,16-09-2023,Repeat Reporter,None,Low,Good,Covered,Low Traffic,Rainy,During Event,Yes
Headphones,Clark-Hall,DarkOrchid,Rooftop Bar,27-06-2024,31-05-2024,Sporting Goods,06-06-2024,Repeat Reporter,None,Medium,Excellent,Covered,Moderate Traffic,Rainy,Normal Day,No
Tumbler,-,DarkGoldenRod,Library Stacks,20-01-2024,22-12-2023,Sporting Goods,14-01-2024,First Time Reporter,Housekeeping,Low,Excellent,Not Covered,Low Traffic,Rainy,During Event,No
Charger,Livingston Ltd,LemonChiffon,Bus Ride,15-12-2024,16-11-2024,Books,05-12-2024,First Time Reporter,None,High,Excellent,Covered,Moderate Traffic,Snowy,Normal Day,No
Necklace,Taylor-Turner,CadetBlue,Coffee Shop,12-05-2024,30-04-2024,Personal Accessories,12-05-2024,Repeat Reporter,Housekeeping,Low,Excellent,Covered,Moderate Traffic,Sunny,During Event,No
Gloves,Simpson Group,Green,Park,01-05-2024,29-04-2024,Personal Accessories,30-04-2024,First Time Reporter,Information Desk,High,Damaged,Covered,Low Traffic,Cloudy,Normal Day,Yes
Earbuds,"Ford, Rodriguez and Carney",DarkViolet,Classroom 303,23-10-2023,15-10-2023,Sporting Goods,16-10-2023,First Time Reporter,Housekeeping,Medium,Damaged,Covered,High Traffic,Snowy,Normal Day,Yes
Earbuds,Johnson-Carpenter,Lavender,Student Lounge,23-07-2024,19-07-2024,Clothing,19-07-2024,First Time Reporter,Information Desk,Low,Damaged,Not Covered,High Traffic,Sunny,Normal Day,No
Tumbler,"Boyd, Pierce and Barajas",DarkSlateBlue,Dormitory Lounge,11-11-2024,13-10-2024,Clothing,22-10-2024,Repeat Reporter,Security,Medium,Good,Not Covered,High Traffic,Sunny,Normal Day,Yes
Phone Charger,-,Sienna,Soccer Field,21-11-2024,12-11-2024,Personal Accessories,21-11-2024,First Time Reporter,Information Desk,Low,Damaged,Covered,Low Traffic,Rainy,During Event,Yes
Backpack,-,SteelBlue,Science Building,17-04-2024,28-03-2024,Clothing,16-04-2024,First Time Reporter,Security,High,Excellent,Covered,High Traffic,Sunny,Normal Day,No
Cell Phone,Lee-Stephens,MediumTurquoise,Hiking Trail,30-12-2024,23-12-2024,Books,24-12-2024,First Time Reporter,Security,Low,Good,Not Covered,Moderate Traffic,Rainy,During Event,Yes
Notebook,-,Purple,Student Center,21-02-2023,09-02-2023,Sporting Goods,19-02-2023,First Time Reporter,Housekeeping,Medium,Damaged,Covered,High Traffic,Snowy,During Event,Yes
Cell Phone,Harper Ltd,DarkViolet,Outdoor Concert Venue,28-02-2023,20-02-2023,Electronics,24-02-2023,First Time Reporter,None,Medium,Good,Covered,Moderate Traffic,Cloudy,During Event,Yes
Umbrella,Griffith and Sons,MediumBlue,Library,14-02-2024,08-02-2024,Books,13-02-2024,First Time Reporter,None,Medium,Damaged,Covered,Low Traffic,Cloudy,Normal Day,Yes
Notebook,-,SkyBlue,Classroom 201,06-11-2023,21-10-2023,Books,02-11-2023,First Time Reporter,Information Desk,High,Excellent,Covered,Moderate Traffic,Rainy,Normal Day,Yes
Wallet,Fitzgerald Inc,PaleGreen,Library Study Room,15-01-2023,05-01-2023,Electronics,07-01-2023,First Time Reporter,Housekeeping,High,Excellent,Covered,High Traffic,Rainy,During Event,Yes
Earbuds,"Lee, Rogers and Freeman",BlanchedAlmond,Bus Stop,26-09-2023,11-09-2023,Clothing,25-09-2023,First Time Reporter,Housekeeping,Medium,Excellent,Covered,High Traffic,Cloudy,Normal Day,Yes
Hat,Sanders-Webster,Thistle,Beach,19-03-2023,20-02-2023,Books,05-03-2023,Repeat Reporter,Information Desk,High,Excellent,Covered,Moderate Traffic,Rainy,During Event,Yes
Book,-,NavajoWhite,Study Lounge,20-11-2024,31-10-2024,Sporting Goods,07-11-2024,First Time Reporter,None,Low,Good,Not Covered,Moderate Traffic,Snowy,During Event,No
Necklace,-,ForestGreen,Coffee Shop,20-07-2024,12-07-2024,Sporting Goods,17-07-2024,Repeat Reporter,Information Desk,Low,Excellent,Not Covered,Moderate Traffic,Cloudy,Normal Day,Yes
Keys,Garcia Group,LightSkyBlue,Library Entrance,23-08-2023,06-08-2023,Clothing,16-08-2023,First Time Reporter,Information Desk,High,Damaged,Covered,Moderate Traffic,Cloudy,Normal Day,No
ID Card,Jennings PLC,Aquamarine,Bookstore,23-02-2024,17-02-2024,Books,22-02-2024,Repeat Reporter,Housekeeping,Low,Good,Covered,Moderate Traffic,Snowy,Normal Day,Yes
Headphones,"Garcia, Shah and Chavez",Aquamarine,Gym,20-08-2024,11-08-2024,Sporting Goods,12-08-2024,Repeat Reporter,Housekeeping,High,Damaged,Covered,Low Traffic,Sunny,During Event,Yes
Coffee Mug,-,Plum,Lecture Hall 104,16-12-2024,01-12-2024,Clothing,04-12-2024,First Time Reporter,Housekeeping,High,Excellent,Not Covered,High Traffic,Sunny,Normal Day,No
Necklace,-,LightSlateGray,Student Lounge,06-06-2024,24-05-2024,Clothing,02-06-2024,First Time Reporter,Security,High,Good,Not Covered,Moderate Traffic,Cloudy,During Event,Yes
Wallet,-,Gainsboro,Trailhead,03-06-2024,27-05-2024,Personal Accessories,27-05-2024,Repeat Reporter,Information Desk,Low,Excellent,Not Covered,High Traffic,Sunny,Normal Day,No
Jacket,Hughes-Williams,Ivory,Shopping Mall,02-03-2023,21-02-2023,Sporting Goods,01-03-2023,Repeat Reporter,Security,Medium,Good,Not Covered,High Traffic,Sunny,During Event,Yes
Sunglasses,-,DimGray,Library,07-02-2023,22-01-2023,Personal Accessories,27-01-2023,Repeat Reporter,Security,High,Damaged,Not Covered,Moderate Traffic,Sunny,During Event,No
Wallet,-,LightSeaGreen,Cafeteria,24-12-2024,29-11-2024,Books,19-12-2024,First Time Reporter,Information Desk,Low,Excellent,Covered,High Traffic,Cloudy,Normal Day,Yes
Earbuds,-,GreenYellow,Lecture Hall 102,07-07-2024,28-06-2024,Personal Accessories,29-06-2024,Repeat Reporter,None,High,Excellent,Not Covered,High Traffic,Snowy,Normal Day,No
Cell Phone,-,Teal,Student Center,10-12-2024,21-11-2024,Books,27-11-2024,Repeat Reporter,Security,Medium,Excellent,Covered,High Traffic,Sunny,During Event,Yes
Wallet,-,Teal,Gym Locker Room,20-10-2023,09-10-2023,Books,12-10-2023,Repeat Reporter,Security,Low,Excellent,Not Covered,Moderate Traffic,Snowy,During Event,No
Laptop,-,LawnGreen,Bus Stop,20-08-2023,25-07-2023,Clothing,03-08-2023,Repeat Reporter,Information Desk,Low,Excellent,Covered,High Traffic,Snowy,During Event,Yes
Sunglasses,Nguyen-Brown,Silver,Classroom 204,02-08-2024,01-08-2024,Clothing,01-08-2024,First Time Reporter,Information Desk,High,Good,Covered,Low Traffic,Sunny,During Event,Yes
Gloves,-,Coral,Science Building,24-04-2024,15-04-2024,Books,19-04-2024,First Time Reporter,None,Low,Damaged,Not Covered,High Traffic,Sunny,Normal Day,No
Sunglasses,-,MediumSlateBlue,Quad,22-11-2023,07-11-2023,Sporting Goods,19-11-2023,First Time Reporter,None,Medium,Damaged,Not Covered,Moderate Traffic,Rainy,Normal Day,Yes
Headphones,-,Orchid,Dormitory Lounge,18-06-2024,15-06-2024,Electronics,15-06-2024,Repeat Reporter,Information Desk,Medium,Damaged,Covered,Moderate Traffic,Cloudy,During Event,Yes
Hat,Campbell and Sons,RoyalBlue,Outdoor Amphitheater,02-07-2023,04-06-2023,Clothing,26-06-2023,Repeat Reporter,Information Desk,High,Damaged,Not Covered,High Traffic,Rainy,Normal Day,Yes
Necklace,-,DarkSeaGreen,Library Study Room,09-07-2024,20-06-2024,Clothing,25-06-2024,Repeat Reporter,Housekeeping,High,Good,Not Covered,Moderate Traffic,Sunny,During Event,Yes
Hat,-,MediumOrchid,Coffee Shop,31-12-2023,21-12-2023,Electronics,27-12-2023,First Time Reporter,None,Medium,Damaged,Covered,High Traffic,Cloudy,During Event,Yes
Backpack,-,Violet,Basketball Court,15-03-2023,10-03-2023,Books,15-03-2023,First Time Reporter,Information Desk,Low,Damaged,Not Covered,High Traffic,Snowy,Normal Day,Yes
Wallet,-,HotPink,Park,25-03-2023,04-03-2023,Electronics,19-03-2023,First Time Reporter,None,High,Good,Covered,Low Traffic,Sunny,Normal Day,No
Laptop,Smith PLC,MidnightBlue,Stadium Bleachers,05-06-2024,17-05-2024,Clothing,01-06-2024,Repeat Reporter,Security,Medium,Damaged,Covered,High Traffic,Rainy,During Event,Yes
Water Bottle,"Shelton, Ayala and Green",Gold,Common Area,03-07-2024,26-06-2024,Sporting Goods,26-06-2024,First Time Reporter,None,Low,Good,Covered,Low Traffic,Cloudy,During Event,Yes
Charger,-,GhostWhite,Fitness Center,30-08-2023,07-08-2023,Clothing,29-08-2023,Repeat Reporter,None,High,Excellent,Covered,Low Traffic,Cloudy,During Event,No
Watch,-,Gainsboro,Cafeteria,06-01-2023,20-12-2022,Sporting Goods,23-12-2022,First Time Reporter,Housekeeping,Medium,Damaged,Covered,Moderate Traffic,Cloudy,Normal Day,No
Backpack,-,Blue,Skate Park,21-06-2024,29-05-2024,Sporting Goods,08-06-2024,Repeat Reporter,Housekeeping,High,Damaged,Covered,High Traffic,Cloudy,During Event,Yes
Tablet,Ramirez-Hall,Turquoise,Library Stacks,07-04-2024,13-03-2024,Books,28-03-2024,Repeat Reporter,Housekeeping,Medium,Good,Covered,Moderate Traffic,Cloudy,Normal Day,Yes
Book,-,YellowGreen,Art Studio,29-03-2024,02-03-2024,Books,13-03-2024,First Time Reporter,Security,Medium,Good,Not Covered,High Traffic,Rainy,During Event,Yes
Tablet,-,LightYellow,Student Lounge,22-03-2023,10-03-2023,Books,11-03-2023,First Time Reporter,Security,High,Good,Not Covered,Moderate Traffic,Sunny,Normal Day,Yes
Book,-,Plum,Auditorium,15-03-2024,04-03-2024,Electronics,07-03-2024,First Time Reporter,None,High,Excellent,Covered,High Traffic,Cloudy,During Event,Yes
Umbrella,-,SeaShell,Bus Station,24-08-2024,09-08-2024,Clothing,18-08-2024,Repeat Reporter,None,Low,Excellent,Covered,High Traffic,Sunny,Normal Day,Yes
Tablet,-,Chocolate,Soccer Field,20-02-2024,22-01-2024,Electronics,03-02-2024,First Time Reporter,Housekeeping,Medium,Good,Not Covered,High Traffic,Rainy,Normal Day,Yes
Water Bottle,-,PaleTurquoise,Chemistry Lab,22-03-2024,26-02-2024,Electronics,04-03-2024,Repeat Reporter,Housekeeping,Medium,Damaged,Covered,Low Traffic,Snowy,During Event,Yes
Scarf,-,Gray,Outdoor Concert Venue,11-04-2023,10-04-2023,Personal Accessories,10-04-2023,Repeat Reporter,Housekeeping,High,Good,Covered,Low Traffic,Cloudy,During Event,No
Laptop,Coleman Inc,LightSlateGray,Study Lounge,16-07-2024,17-06-2024,Personal Accessories,25-06-2024,First Time Reporter,Security,Low,Excellent,Not Covered,High Traffic,Snowy,Normal Day,No
Gloves,Cunningham-Mann,DarkTurquoise,Beach,07-07-2023,12-06-2023,Personal Accessories,27-06-2023,First Time Reporter,Housekeeping,Low,Excellent,Covered,High Traffic,Sunny,During Event,Yes
Earbuds,Byrd Ltd,DarkViolet,Dormitory Hallway,22-09-2024,08-09-2024,Personal Accessories,22-09-2024,Repeat Reporter,Security,Medium,Good,Not Covered,Moderate Traffic,Rainy,Normal Day,Yes
Notebook,Woodward-King,PaleVioletRed,Lecture Hall Lobby,26-10-2023,26-09-2023,Sporting Goods,03-10-2023,Repeat Reporter,None,Medium,Good,Covered,Moderate Traffic,Snowy,Normal Day,Yes
Charger,Wilson-Melendez,OrangeRed,Bookstore,15-07-2024,12-07-2024,Personal Accessories,13-07-2024,Repeat Reporter,Information Desk,Low,Damaged,Covered,High Traffic,Cloudy,During Event,No
Headphones,-,Navy,Music Studio,13-01-2023,08-01-2023,Clothing,09-01-2023,Repeat Reporter,Information Desk,Low,Good,Covered,High Traffic,Cloudy,Normal Day,Yes
Water Bottle,-,SeaShell,Computer Lab,04-11-2024,03-11-2024,Clothing,03-11-2024,First Time Reporter,Information Desk,High,Good,Not Covered,Low Traffic,Cloudy,Normal Day,Yes
Keys,Stewart and Sons,Khaki,Botanical Garden,18-11-2024,02-11-2024,Clothing,15-11-2024,Repeat Reporter,Housekeeping,Medium,Damaged,Not Covered,Low Traffic,Cloudy,Normal Day,No
Keys,Martin-Hudson,DarkSlateBlue,Theme Park Entrance,25-01-2023,12-01-2023,Books,23-01-2023,First Time Reporter,Housekeeping,High,Good,Not Covered,High Traffic,Cloudy,Normal Day,No
Jacket,-,DarkMagenta,Shopping Mall,16-03-2024,24-02-2024,Electronics,03-03-2024,Repeat Reporter,Security,High,Good,Covered,Low Traffic,Snowy,During Event,No
Cell Phone,Nguyen LLC,CadetBlue,Rooftop Bar,26-10-2023,04-10-2023,Personal Accessories,25-10-2023,First Time Reporter,Information Desk,Medium,Excellent,Covered,Moderate Traffic,Sunny,Normal Day,No
ID Card,Cochran-Gill,DarkBlue,Gym,11-09-2024,18-08-2024,Electronics,28-08-2024,Repeat Reporter,Information Desk,Medium,Good,Covered,Low Traffic,Rainy,During Event,Yes
Gloves,-,DimGray,Ice Skating Rink,25-11-2023,14-11-2023,Electronics,22-11-2023,First Time Reporter,Security,High,Good,Not Covered,Low Traffic,Sunny,During Event,Yes
Watch,-,LightGray,Student Center,05-03-2023,09-02-2023,Sporting Goods,26-02-2023,Repeat Reporter,Housekeeping,High,Good,Not Covered,Moderate Traffic,Rainy,During Event,No
Jacket,-,LightPink,Coffee Shop Patio,05-10-2023,20-09-2023,Sporting Goods,04-10-2023,First Time Reporter,None,Medium,Damaged,Not Covered,High Traffic,Sunny,During Event,No
Tablet,-,Cyan,Rooftop Pool,02-01-2023,08-12-2022,Personal Accessories,29-12-2022,Repeat Reporter,Housekeeping,High,Good,Not Covered,Moderate Traffic,Rainy,During Event,Yes
Earbuds,-,Beige,Campus Trail,04-02-2024,30-01-2024,Clothing,04-02-2024,First Time Reporter,Information Desk,High,Damaged,Not Covered,Low Traffic,Cloudy,During Event,Yes
Charger,-,IndianRed,Stadium Stands,13-06-2024,15-05-2024,Personal Accessories,07-06-2024,Repeat Reporter,Housekeeping,Low,Good,Not Covered,High Traffic,Rainy,Normal Day,Yes
Headphones,-,SkyBlue,Study Lounge,24-04-2024,23-04-2024,Books,24-04-2024,First Time Reporter,None,Medium,Excellent,Not Covered,High Traffic,Rainy,During Event,No
Jacket,"Payne, Reyes and Anderson",Black,Library,26-08-2024,23-08-2024,Personal Accessories,23-08-2024,Repeat Reporter,Housekeeping,Medium,Excellent,Covered,Moderate Traffic,Sunny,During Event,No
Hat,"Rubio, Palmer and Nelson",YellowGreen,Park,07-03-2023,14-02-2023,Electronics,05-03-2023,First Time Reporter,None,Low,Excellent,Not Covered,Moderate Traffic,Rainy,Normal Day,Yes
Coffee Mug,Dawson-Garza,DarkOliveGreen,Student Union,14-08-2023,08-08-2023,Books,12-08-2023,First Time Reporter,Information Desk,High,Excellent,Not Covered,High Traffic,Cloudy,During Event,Yes
Backpack,-,DimGray,Bus Stop,14-04-2023,02-04-2023,Electronics,13-04-2023,First Time Reporter,Housekeeping,High,Good,Not Covered,High Traffic,Snowy,Normal Day,Yes
Notebook,"Adams, Perez and Mcdowell",Maroon,Cafeteria,24-07-2024,01-07-2024,Books,07-07-2024,Repeat Reporter,Security,High,Excellent,Not Covered,Low Traffic,Sunny,Normal Day,No
Cell Phone,"Miller, Silva and Edwards",Indigo,Bus Stop,30-08-2024,23-08-2024,Clothing,25-08-2024,Repeat Reporter,None,Low,Good,Covered,Moderate Traffic,Snowy,During Event,No
Umbrella,-,HotPink,Cafeteria,26-10-2024,10-10-2024,Books,20-10-2024,Repeat Reporter,Housekeeping,Medium,Excellent,Covered,Moderate Traffic,Cloudy,During Event,No
Cell Phone,-,MediumPurple,Library Study Room,26-06-2024,09-06-2024,Personal Accessories,12-06-2024,Repeat Reporter,None,Medium,Good,Not Covered,Low Traffic,Snowy,Normal Day,Yes
Tablet,-,SandyBrown,Student Union,13-02-2023,21-01-2023,Electronics,02-02-2023,Repeat Reporter,Security,Medium,Excellent,Covered,Low Traffic,Cloudy,Normal Day,Yes
Book,Mckinney-Gregory,Brown,Outdoor Patio,30-08-2024,27-08-2024,Clothing,29-08-2024,First Time Reporter,Housekeeping,High,Good,Covered,Low Traffic,Sunny,Normal Day,Yes
Cell Phone,-,MintCream,Computer Lab,13-04-2023,18-03-2023,Clothing,10-04-2023,Repeat Reporter,Housekeeping,High,Good,Not Covered,Low Traffic,Sunny,Normal Day,Yes
Watch,"Garcia, Haley and Carr",DeepPink,Library,21-04-2023,03-04-2023,Clothing,13-04-2023,Repeat Reporter,Housekeeping,Low,Excellent,Not Covered,Low Traffic,Snowy,During Event,No
ID Card,"Singleton, Booth and Anderson",Linen,Gym,07-05-2024,03-05-2024,Sporting Goods,03-05-2024,First Time Reporter,None,High,Good,Covered,Low Traffic,Cloudy,Normal Day,No
Jacket,"Brooks, Evans and Rice",SlateGray,Quad,17-03-2023,04-03-2023,Clothing,15-03-2023,Repeat Reporter,Security,Low,Damaged,Covered,High Traffic,Snowy,Normal Day,No
Headphones,Roberson LLC,Chocolate,Cafeteria,24-12-2023,22-12-2023,Books,23-12-2023,First Time Reporter,Security,High,Damaged,Not Covered,Low Traffic,Cloudy,During Event,No
ID Card,"Jordan, Koch and Jordan",DarkKhaki,Baseball Field,04-05-2023,04-04-2023,Electronics,14-04-2023,Repeat Reporter,Housekeeping,High,Good,Not Covered,High Traffic,Sunny,During Event,Yes
Book,Young Inc,Navy,Football Stadium,07-02-2024,22-01-2024,Books,07-02-2024,Repeat Reporter,Information Desk,Low,Good,Not Covered,Moderate Traffic,Sunny,Normal Day,No
Book,"Ayers, Cobb and Bean",Aquamarine,Shopping Mall,30-03-2023,03-03-2023,Electronics,27-03-2023,Repeat Reporter,Security,High,Excellent,Covered,Low Traffic,Cloudy,Normal Day,No
Keys,-,Turquoise,Rooftop Bar,06-08-2024,31-07-2024,Personal Accessories,04-08-2024,First Time Reporter,Security,High,Good,Not Covered,Moderate Traffic,Snowy,Normal Day,No
Keys,Holland Group,MediumSpringGreen,Library Stacks,21-08-2023,13-08-2023,Books,19-08-2023,Repeat Reporter,None,Low,Damaged,Covered,Low Traffic,Rainy,During Event,Yes
Book,-,Maroon,Bus Ride,15-10-2024,13-10-2024,Electronics,15-10-2024,First Time Reporter,None,Low,Damaged,Not Covered,Moderate Traffic,Cloudy,Normal Day,Yes
Keys,-,IndianRed,Coffee Shop,29-12-2023,22-12-2023,Personal Accessories,25-12-2023,Repeat Reporter,None,Low,Excellent,Not Covered,High Traffic,Cloudy,During Event,Yes
Water Bottle,-,FireBrick,Park,03-01-2024,30-12-2023,Personal Accessories,03-01-2024,Repeat Reporter,Information Desk,Low,Excellent,Not Covered,Low Traffic,Snowy,During Event,No
Sunglasses,"Bates, Garcia and Gonzalez",FireBrick,Classroom 303,20-09-2024,04-09-2024,Clothing,16-09-2024,Repeat Reporter,Information Desk,Medium,Damaged,Covered,Moderate Traffic,Rainy,Normal Day,Yes
Headphones,Brown Ltd,MediumPurple,Student Lounge,29-12-2024,21-12-2024,Books,29-12-2024,Repeat Reporter,Security,Low,Good,Covered,High Traffic,Rainy,Normal Day,Yes
Coffee Mug,-,DarkTurquoise,Dormitory Lounge,14-11-2024,22-10-2024,Personal Accessories,28-10-2024,Repeat Reporter,Housekeeping,Medium,Damaged,Covered,Low Traffic,Snowy,Normal Day,Yes
Hat,"Jones, Gonzalez and Cordova",Beige,Soccer Field,03-11-2023,09-10-2023,Electronics,31-10-2023,First Time Reporter,None,Low,Good,Not Covered,High Traffic,Sunny,During Event,Yes
Sunglasses,-,LightSlateGray,Science Building,06-07-2024,18-06-2024,Clothing,21-06-2024,First Time Reporter,Housekeeping,High,Damaged,Not Covered,Moderate Traffic,Sunny,Normal Day,Yes
Headphones,Cordova Inc,Silver,Hiking Trail,19-04-2023,18-04-2023,Books,19-04-2023,Repeat Reporter,Housekeeping,Low,Good,Not Covered,Low Traffic,Rainy,Normal Day,Yes
Charger,Bush-Drake,Pink,Student Center,23-07-2024,11-07-2024,Clothing,14-07-2024,First Time Reporter,Housekeeping,Low,Good,Not Covered,Low Traffic,Sunny,Normal Day,Yes
Laptop,Harris Inc,FireBrick,Outdoor Concert Venue,30-11-2023,06-11-2023,Clothing,08-11-2023,Repeat Reporter,None,High,Excellent,Not Covered,Moderate Traffic,Sunny,Normal Day,Yes
Notebook,-,MidnightBlue,Library,14-03-2023,04-03-2023,Electronics,07-03-2023,Repeat Reporter,Security,High,Damaged,Not Covered,Low Traffic,Cloudy,During Event,No
Scarf,-,CadetBlue,Classroom 201,29-10-2023,05-10-2023,Sporting Goods,17-10-2023,Repeat Reporter,Information Desk,High,Excellent,Not Covered,Low Traffic,Snowy,Normal Day,Yes
Tablet,"Jones, Smith and Harvey",LightPink,Library Study Room,09-09-2023,30-08-2023,Electronics,01-09-2023,Repeat Reporter,Information Desk,Low,Damaged,Not Covered,Low Traffic,Sunny,During Event,No
Keys,Moore-Rhodes,DarkTurquoise,Bus Stop,24-10-2024,16-10-2024,Books,19-10-2024,First Time Reporter,Security,Medium,Good,Covered,Moderate Traffic,Cloudy,During Event,Yes
Tablet,Nguyen-Morris,Orchid,Beach,31-08-2024,06-08-2024,Clothing,21-08-2024,Repeat Reporter,Security,Medium,Damaged,Not Covered,Low Traffic,Sunny,Normal Day,Yes
Headphones,-,Brown,Study Lounge,11-05-2024,30-04-2024,Sporting Goods,04-05-2024,First Time Reporter,Security,Medium,Excellent,Not Covered,Low Traffic,Sunny,Normal Day,No
Jacket,Jones Inc,Azure,Coffee Shop,12-10-2023,26-09-2023,Clothing,29-09-2023,First Time Reporter,None,High,Good,Covered,High Traffic,Sunny,During Event,Yes
Coffee Mug,-,Violet,Library Entrance,04-03-2023,14-02-2023,Books,20-02-2023,Repeat Reporter,Information Desk,High,Good,Covered,Low Traffic,Cloudy,Normal Day,Yes
Laptop,Campos Group,OrangeRed,Bookstore,30-07-2024,17-07-2024,Clothing,28-07-2024,Repeat Reporter,None,High,Damaged,Not Covered,High Traffic,Snowy,During Event,Yes
Laptop,-,White,Gym,22-10-2024,30-09-2024,Sporting Goods,18-10-2024,First Time Reporter,None,High,Good,Not Covered,Low Traffic,Sunny,During Event,No
Tumbler,-,PaleTurquoise,Lecture Hall 104,31-08-2023,22-08-2023,Clothing,30-08-2023,Repeat Reporter,Information Desk,High,Good,Covered,Low Traffic,Snowy,During Event,Yes
Cell Phone,"Russell, Miller and Olson",LightGray,Student Lounge,03-04-2023,23-03-2023,Sporting Goods,26-03-2023,Repeat Reporter,Housekeeping,Medium,Excellent,Not Covered,High Traffic,Snowy,During Event,No
Charger,Luna-Hill,LightSkyBlue,Trailhead,12-11-2024,28-10-2024,Books,03-11-2024,First Time Reporter,None,High,Good,Not Covered,High Traffic,Rainy,During Event,Yes
Necklace,Fernandez-Stanton,Lime,Shopping Mall,25-05-2023,12-05-2023,Sporting Goods,18-05-2023,Repeat Reporter,None,Medium,Excellent,Covered,Low Traffic,Snowy,During Event,Yes
Jacket,-,YellowGreen,Library,17-08-2023,09-08-2023,Electronics,09-08-2023,Repeat Reporter,None,High,Excellent,Not Covered,Low Traffic,Sunny,During Event,Yes
